SMILES,Name,CID,InChI,IUPAC,Status,Source
[C]=O,Carbon monoxide,281,1S/CO/c1-2,carbon monoxide,1,PMID: 11015442
[Cl-].[Cl-].[Hg+2],Mercuric chloride,24085,1S/2ClH.Hg/h2*1H;/q;;+2/p-2,dichloromercury,1,HEPG2
[Cl-][Pt]1([Cl-])NCCN1,2-Azanidylethylazanide;dichloroplatinum,153436134,"1S/C2H6N2.2ClH.Pt/c3-1-2-4;;;/h3-4H,1-2H2;2*1H;/q-2;;;+2/p-2",2-azanidylethylazanide;dichloroplatinum,0,CHO
[I-].[I-].[Hg+2],Mercuric iodide,24485,1S/Hg.2HI/h;2*1H/q+2;;/p-2,diiodomercury,1,HEPG2
[N-]=[N+]=O,Nitrous oxide,948,1S/N2O/c1-2-3,nitrous oxide,0,PMID: 17413912
[O-][Cr](=O)(=O)O[Cr](=O)(=O)[O-].[K+].[K+],Potassium dichromate,24502,1S/2Cr.2K.7O/q;;2*+1;;;;;;2*-1,dipotassium;oxido-(oxido(dioxo)chromio)oxy-dioxochromium,0,HEPG2
[O-][Cr](=O)(=O)O[Cr](=O)(=O)[O-].O.O.[Na+].[Na+],Sodium dichromate dihydrate,108005,1S/2Cr.2Na.2H2O.7O/h;;;;2*1H2;;;;;;;/q;;2*+1;;;;;;;;2*-1,disodium;oxido-(oxido(dioxo)chromio)oxy-dioxochromium;dihydrate,0,HEPG2
[O-][N+](=O)C=Cc1ccccc1,(2-Nitroethenyl)benzene,7626,1S/C8H7NO2/c10-9(11)7-6-8-4-2-1-3-5-8/h1-7H,2-nitroethenylbenzene,0,HEPG2
[O-][N+](=O)c1cc(c(c(c1Cl)[N+](=O)[O-])Cl)C(F)(F)F,"2,4-Dichloro-1,3-dinitro-5-(trifluoromethyl)benzene",94398,"1S/C7HCl2F3N2O4/c8-4-2(7(10,11)12)1-3(13(15)16)5(9)6(4)14(17)18/h1H","2,4-dichloro-1,3-dinitro-5-(trifluoromethyl)benzene",0,HEPG2
[O-][N+](=O)c1ccc(c(c1)[N+](=O)[O-])F,"1-Fluoro-2,4-dinitrobenzene",6264,1S/C6H3FN2O4/c7-5-2-1-4(8(10)11)3-6(5)9(12)13/h1-3H,"1-fluoro-2,4-dinitrobenzene",1,HEPG2
[O-][N+](=O)c1ccc(cc1)Nc1nc(nc(n1)N1CCOCC1)N1CCOCC1,"4,6-dimorpholino-N-(4-nitrophenyl)-1,3,5-triazin-2-amine",2834965,"1S/C17H21N7O4/c25-24(26)14-3-1-13(2-4-14)18-15-19-16(22-5-9-27-10-6-22)21-17(20-15)23-7-11-28-12-8-23/h1-4H,5-12H2,(H,18,19,20,21)","4,6-dimorpholin-4-yl-N-(4-nitrophenyl)-1,3,5-triazin-2-amine",1,PMID: 27884298
